order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
954205,842265,Justin Coffey,248086,Football,Sports & Outdoors,Wallet,58,441.21,2024-01-01 20:43,Germany,Berlin,www.flipkart.com,82570bee,N,Invalid CVV.
549807,952323,Sherry Nichols,833973,Graphite Pencil,pencil,UPI,906,836.2,2024-09-11 05:54,UK,Leeds,www.tatacliq.com,b649fd24,N,Invalid CVV.
571323,590209,Kathryn Gilbert,761370,Tennis Racket,Sports & Outdoors,Cards,74,973.9,2024-01-13 08:27,USA,New York,www.ebay.in,64a0455d,Y,N/A
712703,726494,Megan Bailey,948725,Mechanical Pencil,pencil,InternetBanking,186,360.14,2024-03-07 09:20,Germany,Berlin,www.tatacliq.com,363a7ffe,Y,N/A
199587,918673,Cheryl Burke,728610,Action Figure,Toys & Games,Wallet,544,496.15,2024-01-23 11:59,Germany,Berlin,www.snapdeal.com,e4a1d8db,Y,N/A
780900,356824,Alex Bennett,538519,Pen,Office Products,Cards,471,457.37,2024-05-03 11:45,UK,London,www.ebay.in,c93a8816,N,Invalid CVV.
732051,733404,Taylor Carter,839717,Ball Pen,pen,InternetBanking,128,218.61,2024-03-26 09:26,Germany,Berlin,www.snapdeal.com,a82258b6,Y,N/A
505113,960752,Peter Butler,821509,T-shirt,Clothing,Cards,90,138.22,2024-07-21 02:19,UK,Leeds,www.flipkart.com,bf1d748b,N,Invalid CVV.
275861,590343,Samantha Butler,700394,Action Figure,Toys & Games,Cards,488,65.17,2024-02-28 21:22,India,Kolkata,www.ebay.in,7885d006,N,Invalid CVV.
260022,438011,Adrienne Davis,656555,Furniture,Home & Kitchen,UPI,361,712.99,2024-07-20 14:52,Germany,Hamburg,www.flipkart.com,61f34534,Y,N/A
294382,474452,Nathan Long,48158,Printer,Office Products,InternetBanking,319,968.26,2024-06-06 04:56,India,Kolkata,www.flipkart.com,d5f4b2b1,N,Invalid CVV.
234544,848166,Shawn Rodriguez,133109,Vitamins,Health & Personal Care,UPI,32,12.43,2023-10-02 19:28,UK,Birmingham,www.amazon.com,9360a961,Y,N/A
383240,734416,Melissa Vance,644013,Car Tire,Automotive,UPI,992,195.64,2024-07-26 21:18,Germany,Hamburg,www.flipkart.com,294bd38e,N,Invalid CVV.
10310,398399,Madison Frost,724384,Furniture,Home & Kitchen,InternetBanking,746,910.63,2024-06-19 04:18,UK,Leeds,www.amazon.com,336c48fc,Y,N/A
35417,513035,Drew Lloyd,357307,Foundation,Beauty & Personal Care,InternetBanking,714,138.72,2024-09-17 04:36,USA,Boston,www.amazon.com,90926209,N,Invalid CVV.
567570,266543,Donald Scott,84251,Mechanical Pencil,pencil,Wallet,616,668.42,2024-04-14 21:16,India,Bengaluru,www.amazon.com,1ba7aa75,Y,N/A
